album,artist,genre,subgenres
Electric Ladyland,Jimi Hendrix,Rock,"Acid Rock, Art Rock, Blues Rock, Classic Rock, Experimental Rock, Funk Rock, Hard Rock, Psychedelic Blues, Psychedelic Rock"
Eternal Atake,Lil Uzi Vert,Hip Hop,"Cloud Rap, Emo Rap, Mumble Rap, Pop Rap, Psychedelic Hip Hop, Space Rap, Synthwave, Trap"
An Evening With Silk Sonic,"Silk Sonic, Bruno Mars, Anderson .Paak",R&B,"Contemporary R&B, Disco, Funk, Funk Pop, Neo-Soul, Philadelphia Soul, Pop Soul, Quiet Storm, Retro-Soul"
The Final Cut,Pink Floyd,Rock,"Art Rock, Progressive Rock, Psychedelic Rock, Soft Rock, Symphonic Rock, Concept Album"
Flower Boy,"Tyler, The Creator",Hip Hop,"Alternative Hip Hop, Alternative R&B, Experimental Hip Hop, Jazz Rap, Neo-Soul, Pop Rap, Psychedelic Hip Hop, Soul"
Freudian,Daniel Caesar,R&B,"Alternative R&B, Contemporary R&B, Gospel, Neo-Soul, Soul"
Fuck The World,Brent Faiyaz,R&B,"Alternative R&B, Contemporary R&B, Neo-Soul, Trap Soul"
FUTURE,Future,Hip Hop,"Atlanta Hip Hop, Gangsta Rap, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
Future & Juice WRLD Present… WRLD ON DRUGS,"Future, Juice WRLD",Hip Hop,"Emo Rap, Melodic Rap, Mumble Rap, Pop Rap, Psychedelic Trap, SoundCloud Rap, Southern Hip Hop, Trap"
Gemini Rights,Steve Lacy,R&B,"Alternative R&B, Funk, Indie Rock, Neo-Soul, Psychedelic Soul"
Goblin,"Tyler, The Creator",Hip Hop,"Alternative Hip Hop, Experimental Hip Hop, Horrorcore"
Goodbye & Good Riddance,Juice WRLD,Hip Hop,"Emo Rap, Melodic Rap, Mumble Rap, Pop Rap, SoundCloud Rap, Trap"
